OrderID,ShipDate,ShipMode,AddressID,ShipmentID
CA-2014-121664,2014-05-10,Standard Class,AD000007,SH000037
CA-2014-122217,2014-11-29,Standard Class,AD000007,SH000038
CA-2015-156853,2015-12-05,Second Class,AD000007,SH000039
CA-2017-161893,2017-01-27,Standard Class,AD000007,SH000040
CA-2014-105893,2014-11-18,Standard Class,AD000008,SH000041
CA-2016-115756,2016-09-07,Second Class,AD000008,SH000042
US-2016-134488,2016-10-01,Standard Class,AD000008,SH000043
CA-2016-150343,2016-08-20,Standard Class,AD000008,SH000044
CA-2017-107461,2017-12-26,Second Class,AD000008,SH000045
CA-2017-147753,2017-03-05,Same Day,AD000008,SH000046
CA-2017-132346,2017-11-11,Standard Class,AD000008,SH000047
CA-2017-116680,2017-09-06,Second Class,AD000008,SH000048
CA-2016-118332,2016-12-23,Standard Class,AD000008,SH000049
CA-2016-129126,2016-12-19,Standard Class,AD000008,SH000050
CA-2016-166282,2016-04-22,Standard Class,AD000008,SH000051
US-2017-102183,2017-08-28,Standard Class,AD000008,SH000052
CA-2014-167164,2014-05-15,Second Class,AD000009,SH000053
CA-2017-139416,2017-03-29,Second Class,AD000009,SH000054
CA-2016-105732,2016-09-18,Standard Class,AD000009,SH000055
CA-2014-103058,2014-07-24,First Class,AD000009,SH000056
CA-2015-153738,2015-09-22,First Class,AD000009,SH000057
CA-2014-143336,2014-09-01,Second Class,AD000010,SH000058
US-2016-147991,2016-05-09,Standard Class,AD000010,SH000059
CA-2016-152471,2016-07-08,Same Day,AD000010,SH000060
CA-2016-167682,2016-04-09,Standard Class,AD000010,SH000061
CA-2017-141481,2017-06-14,First Class,AD000010,SH000062
CA-2016-137330,2016-12-13,Standard Class,AD000011,SH000063
CA-2014-129168,2014-08-23,Standard Class,AD000011,SH000064
CA-2017-159352,2017-03-17,Standard Class,AD000011,SH000065
CA-2014-153913,2014-12-20,Second Class,AD000011,SH000066
CA-2015-101924,2015-09-09,Standard Class,AD000011,SH000067
CA-2016-108868,2016-09-12,Standard Class,AD000011,SH000068
CA-2017-129357,2017-05-19,Standard Class,AD000011,SH000069
CA-2016-116547,2016-01-17,Standard Class,AD000011,SH000070
CA-2014-149538,2014-04-08,Standard Class,AD000011,SH000071
CA-2015-138674,2015-11-17,First Class,AD000011,SH000072
CA-2015-103716,2015-05-06,Standard Class,AD000011,SH000073
US-2015-118906,2015-03-10,Same Day,AD000011,SH000074
US-2017-156909,2017-07-18,Second Class,AD000012,SH000075
US-2015-164357,2015-11-29,Standard Class,AD000012,SH000076
CA-2016-130442,2016-12-19,First Class,AD000012,SH000077
CA-2014-113383,2014-09-13,First Class,AD000012,SH000078
CA-2017-104136,2017-11-04,Second Class,AD000012,SH000079
CA-2015-142937,2015-12-06,First Class,AD000012,SH000080
CA-2015-148495,2015-08-13,Same Day,AD000012,SH000081
CA-2015-106320,2015-09-30,Standard Class,AD000013,SH000082
CA-2016-144939,2016-10-08,Standard Class,AD000013,SH000083
US-2015-110569,2015-05-30,Standard Class,AD000013,SH000084
CA-2015-153626,2015-07-14,Standard Class,AD000013,SH000085
CA-2017-130967,2017-03-16,Standard Class,AD000013,SH000086
CA-2014-110219,2014-05-08,First Class,AD000013,SH000087
CA-2016-159989,2016-12-13,Standard Class,AD000013,SH000088
CA-2017-169817,2017-09-25,Standard Class,AD000013,SH000089
CA-2017-148999,2017-02-04,Standard Class,AD000013,SH000090
US-2014-126340,2014-11-14,Standard Class,AD000013,SH000091
CA-2016-121755,2016-01-20,Second Class,AD000014,SH000092
US-2016-110156,2016-11-24,Standard Class,AD000014,SH000093
CA-2014-107594,2014-07-06,Standard Class,AD000014,SH000094
CA-2015-149384,2015-07-10,Same Day,AD000014,SH000095
CA-2017-160458,2017-05-29,Second Class,AD000014,SH000096
CA-2015-114048,2015-12-18,Standard Class,AD000014,SH000097
CA-2017-153080,2017-05-25,Second Class,AD000014,SH000098
US-2016-158288,2016-11-28,Second Class,AD000014,SH000099
US-2015-150630,2015-09-21,Standard Class,AD000015,SH000100
CA-2017-114440,2017-09-17,Second Class,AD000015,SH000101
CA-2015-130883,2015-10-02,Standard Class,AD000015,SH000102
CA-2015-131128,2015-10-20,First Class,AD000015,SH000103
CA-2014-142587,2014-10-22,First Class,AD000015,SH000104
CA-2016-117912,2016-02-08,Standard Class,AD000015,SH000105
CA-2014-124394,2014-10-22,Second Class,AD000015,SH000106
CA-2014-168473,2015-01-01,Standard Class,AD000015,SH000107
CA-2017-133718,2017-07-26,First Class,AD000015,SH000108
CA-2017-107727,2017-10-23,Second Class,AD000016,SH000109
CA-2017-110373,2017-10-30,Second Class,AD000016,SH000110
CA-2015-143105,2015-12-10,Same Day,AD000016,SH000111
CA-2014-168823,2014-09-24,First Class,AD000016,SH000112
CA-2014-124478,2014-08-12,Standard Class,AD000016,SH000113
CA-2017-158722,2017-10-26,Standard Class,AD000016,SH000114
CA-2014-140732,2014-11-13,Second Class,AD000016,SH000115
CA-2015-130974,2015-11-29,Second Class,AD000016,SH000116
US-2016-117793,2016-08-29,Standard Class,AD000016,SH000117
CA-2016-128916,2016-08-20,Second Class,AD000016,SH000118
CA-2015-110324,2015-12-05,Standard Class,AD000016,SH000119
CA-2016-117590,2016-12-10,First Class,AD000017,SH000120
CA-2015-131352,2015-10-13,Standard Class,AD000017,SH000121
CA-2015-117415,2015-12-31,Standard Class,AD000018,SH000122
CA-2017-152702,2017-10-16,Standard Class,AD000018,SH000123
US-2016-146570,2016-05-20,Standard Class,AD000018,SH000124
CA-2016-119963,2016-11-22,Standard Class,AD000018,SH000125
CA-2016-169957,2016-09-30,Standard Class,AD000018,SH000126
CA-2015-125234,2015-12-01,Standard Class,AD000018,SH000127
US-2014-154879,2014-05-11,Standard Class,AD000018,SH000128
CA-2017-120999,2017-09-15,Standard Class,AD000019,SH000129
CA-2016-152289,2016-08-28,First Class,AD000019,SH000130
US-2017-137491,2017-11-25,Standard Class,AD000019,SH000131
CA-2016-107202,2016-05-28,Standard Class,AD000019,SH000132
CA-2016-111913,2016-08-06,Second Class,AD000019,SH000133
CA-2014-109491,2014-02-26,Standard Class,AD000019,SH000134
CA-2017-167080,2017-06-14,Standard Class,AD000019,SH000135
CA-2016-143476,2016-09-13,First Class,AD000019,SH000136
CA-2016-101343,2016-07-22,Standard Class,AD000020,SH000137
US-2017-111745,2017-11-06,First Class,AD000020,SH000138
CA-2014-129091,2014-11-27,Standard Class,AD000020,SH000139
CA-2015-155453,2015-08-14,Standard Class,AD000020,SH000140
US-2014-118997,2014-04-12,Standard Class,AD000020,SH000141
US-2017-106145,2017-09-26,Same Day,AD000020,SH000142
CA-2017-163629,2017-11-21,Standard Class,AD000020,SH000143
CA-2017-139619,2017-09-23,Standard Class,AD000021,SH000144
CA-2016-136924,2016-07-17,First Class,AD000021,SH000145
CA-2014-108189,2014-10-05,First Class,AD000021,SH000146
CA-2015-104129,2015-03-02,Standard Class,AD000021,SH000147
CA-2016-134936,2016-12-25,Standard Class,AD000021,SH000148
CA-2017-127397,2017-02-28,Standard Class,AD000021,SH000149
CA-2017-157469,2017-12-07,Standard Class,AD000021,SH000150
CA-2016-108056,2016-10-03,Standard Class,AD000021,SH000151
CA-2016-154998,2016-04-09,First Class,AD000021,SH000152
CA-2016-118255,2016-03-13,First Class,AD000022,SH000153
US-2015-161466,2015-09-27,Second Class,AD000022,SH000154
CA-2014-121286,2014-11-08,Second Class,AD000022,SH000155
CA-2015-112014,2015-08-20,Standard Class,AD000022,SH000156
CA-2014-140039,2014-09-17,Standard Class,AD000022,SH000157
US-2016-151862,2016-03-08,Standard Class,AD000022,SH000158
US-2015-117184,2015-05-21,Standard Class,AD000022,SH000159
CA-2014-154095,2014-12-07,Standard Class,AD000022,SH000160
CA-2016-130820,2016-11-15,Same Day,AD000022,SH000161
CA-2014-146703,2014-10-25,Second Class,AD000023,SH000162
CA-2017-140088,2017-05-30,Second Class,AD000023,SH000163
CA-2017-143259,2018-01-03,Standard Class,AD000023,SH000164
CA-2014-120838,2014-03-26,Second Class,AD000023,SH000165
CA-2017-128328,2017-08-09,Standard Class,AD000023,SH000166
US-2016-152415,2016-09-22,Standard Class,AD000023,SH000167
CA-2017-108756,2017-12-29,Standard Class,AD000023,SH000168
CA-2016-169194,2016-06-25,Standard Class,AD000024,SH000169
US-2014-156559,2014-08-26,Standard Class,AD000024,SH000170
US-2017-169320,2017-07-25,Second Class,AD000024,SH000171
CA-2014-123323,2014-11-12,Standard Class,AD000024,SH000172
US-2017-103814,2017-12-16,Standard Class,AD000024,SH000173
CA-2016-113733,2016-12-12,Standard Class,AD000024,SH000174
CA-2014-126277,2014-09-18,Second Class,AD000024,SH000175
US-2015-136749,2015-12-27,Second Class,AD000024,SH000176
CA-2014-109855,2014-09-05,Standard Class,AD000024,SH000177
CA-2015-115742,2015-04-22,Standard Class,AD000025,SH000178
CA-2015-105347,2015-11-28,Standard Class,AD000025,SH000179
CA-2016-141180,2016-05-19,Second Class,AD000025,SH000180
CA-2017-142174,2017-03-09,Standard Class,AD000025,SH000181
US-2017-154872,2017-05-18,Standard Class,AD000025,SH000182
CA-2014-103800,2014-01-07,Standard Class,AD000025,SH000183
CA-2017-157350,2017-09-01,Standard Class,AD000025,SH000184
CA-2016-166618,2016-11-18,Standard Class,AD000025,SH000185
CA-2014-122609,2014-11-18,Standard Class,AD000025,SH000186
CA-2016-105816,2016-12-17,Standard Class,AD000026,SH000187
CA-2017-149160,2017-11-26,Second Class,AD000026,SH000188
CA-2014-104178,2014-08-29,Standard Class,AD000026,SH000189
CA-2016-126858,2016-11-23,Standard Class,AD000026,SH000190
CA-2015-100818,2015-06-05,Second Class,AD000026,SH000191
CA-2016-111682,2016-06-18,First Class,AD000027,SH000192
CA-2016-145982,2016-09-01,Second Class,AD000027,SH000193
CA-2017-145037,2017-09-07,Second Class,AD000027,SH000194
CA-2017-117156,2017-03-23,Second Class,AD000027,SH000195
CA-2017-163566,2017-08-06,First Class,AD000027,SH000196
CA-2015-135545,2015-11-30,Standard Class,AD000028,SH000197
US-2014-157021,2014-04-06,Second Class,AD000028,SH000198
CA-2014-169033,2014-04-03,Standard Class,AD000028,SH000199
CA-2014-126760,2014-08-02,Standard Class,AD000028,SH000200
CA-2014-100678,2014-04-22,Standard Class,AD000028,SH000201
CA-2016-109666,2016-04-26,Standard Class,AD000028,SH000202
US-2015-106873,2015-09-29,Second Class,AD000028,SH000203
CA-2017-167395,2017-12-04,First Class,AD000028,SH000204
US-2015-164175,2015-05-05,Standard Class,AD000029,SH000205
CA-2015-140830,2015-12-02,Second Class,AD000029,SH000206
US-2017-111920,2017-10-26,Standard Class,AD000029,SH000207
CA-2017-163818,2017-10-08,Standard Class,AD000029,SH000208
CA-2016-161158,2016-05-13,Standard Class,AD000029,SH000209
US-2014-120740,2014-04-15,Same Day,AD000029,SH000210
CA-2017-111591,2017-03-25,Standard Class,AD000029,SH000211
CA-2015-135727,2015-05-16,Second Class,AD000029,SH000212
CA-2014-106376,2014-12-10,Standard Class,AD000030,SH000213
CA-2016-105900,2016-09-23,Standard Class,AD000030,SH000214
US-2015-109015,2015-09-12,Standard Class,AD000030,SH000215
CA-2014-149524,2014-01-15,First Class,AD000030,SH000216
CA-2014-107398,2014-08-30,Standard Class,AD000030,SH000217
US-2017-109610,2017-11-30,Second Class,AD000030,SH000218
CA-2016-119823,2016-06-06,First Class,AD000031,SH000219
US-2016-143819,2016-03-05,Standard Class,AD000031,SH000220
CA-2016-130407,2016-09-06,Standard Class,AD000031,SH000221
CA-2014-165309,2014-11-15,Standard Class,AD000031,SH000222
CA-2015-110870,2015-12-15,First Class,AD000031,SH000223
CA-2016-106075,2016-09-23,Standard Class,AD000032,SH000224
CA-2015-129917,2015-10-03,First Class,AD000032,SH000225
CA-2017-130904,2017-04-16,Standard Class,AD000032,SH000226
CA-2017-151281,2017-05-02,Standard Class,AD000032,SH000227
US-2015-134026,2015-05-02,Standard Class,AD000034,SH000228
US-2014-147606,2014-12-01,Second Class,AD000034,SH000229
US-2015-101511,2015-11-23,Second Class,AD000034,SH000230
CA-2014-142048,2014-06-25,First Class,AD000034,SH000231
CA-2017-129462,2017-06-21,Second Class,AD000034,SH000232
CA-2016-113621,2016-12-05,Standard Class,AD000034,SH000233
CA-2015-139731,2015-10-15,Same Day,AD000034,SH000234
CA-2017-108070,2017-04-20,Standard Class,AD000034,SH000235
CA-2016-144729,2016-10-25,Standard Class,AD000034,SH000236
CA-2017-161053,2017-09-23,First Class,AD000034,SH000237
US-2017-141852,2017-11-14,Standard Class,AD000034,SH000238
US-2015-168914,2015-05-27,Standard Class,AD000034,SH000239
US-2016-162026,2016-10-08,Same Day,AD000034,SH000240
US-2017-118038,2017-12-11,First Class,AD000035,SH000241
CA-2014-130960,2015-01-04,Standard Class,AD000035,SH000242
CA-2015-157035,2015-12-12,First Class,AD000035,SH000243
CA-2017-158673,2018-01-04,Standard Class,AD000035,SH000244
CA-2017-159156,2017-11-16,First Class,AD000035,SH000245
CA-2016-168361,2016-06-25,Standard Class,AD000035,SH000246
CA-2016-149671,2016-06-09,Standard Class,AD000035,SH000247
CA-2016-127208,2016-06-15,First Class,AD000037,SH000248
CA-2017-146024,2017-03-08,Standard Class,AD000037,SH000249
CA-2016-105963,2016-11-22,Standard Class,AD000037,SH000250
CA-2015-140144,2015-06-25,Second Class,AD000037,SH000251
CA-2017-112529,2017-11-21,First Class,AD000037,SH000252
US-2016-114013,2016-03-15,Second Class,AD000037,SH000253
CA-2016-131744,2016-06-20,Second Class,AD000037,SH000254
CA-2014-139451,2014-10-16,Standard Class,AD000038,SH000255
CA-2016-114951,2016-07-03,Standard Class,AD000038,SH000256
CA-2014-166744,2014-09-24,Standard Class,AD000038,SH000257
CA-2016-151498,2016-04-24,First Class,AD000038,SH000258
CA-2014-119977,2014-10-13,Second Class,AD000038,SH000259
CA-2016-114860,2016-12-28,Standard Class,AD000038,SH000260
CA-2017-136882,2017-06-03,Standard Class,AD000038,SH000261
CA-2015-149734,2015-09-08,Standard Class,AD000039,SH000262
CA-2017-126046,2017-11-07,Standard Class,AD000039,SH000263
US-2014-167738,2014-12-29,Standard Class,AD000039,SH000264
CA-2017-139913,2017-10-29,Standard Class,AD000039,SH000265
CA-2014-141173,2014-11-20,Second Class,AD000039,SH000266
US-2017-119662,2017-11-16,First Class,AD000040,SH000267
US-2017-100930,2017-04-12,Standard Class,AD000040,SH000268
CA-2017-107293,2017-09-06,First Class,AD000040,SH000269
CA-2016-140207,2016-11-10,Standard Class,AD000040,SH000270
CA-2014-127586,2014-09-30,Standard Class,AD000040,SH000271
US-2015-119312,2015-10-07,Second Class,AD000040,SH000272
CA-2017-135111,2018-01-02,Standard Class,AD000040,SH000273
CA-2016-133816,2016-05-13,Second Class,AD000040,SH000274
CA-2017-127096,2017-09-17,Second Class,AD000040,SH000275
CA-2017-155558,2017-11-02,Standard Class,AD000042,SH000276
CA-2016-111010,2016-01-28,Standard Class,AD000042,SH000277
CA-2014-103849,2014-05-16,Standard Class,AD000042,SH000278
CA-2016-147578,2016-04-26,Second Class,AD000042,SH000279
CA-2015-166464,2015-09-17,Standard Class,AD000042,SH000280
CA-2017-148320,2017-11-08,Standard Class,AD000042,SH000281
CA-2017-122056,2017-06-17,Standard Class,AD000042,SH000282
CA-2015-134117,2015-12-19,Second Class,AD000042,SH000283
US-2017-135986,2017-06-27,Standard Class,AD000042,SH000284
CA-2016-159695,2016-04-10,Second Class,AD000043,SH000285
US-2016-161396,2016-04-25,Standard Class,AD000043,SH000286
US-2014-143231,2015-01-03,First Class,AD000043,SH000287
CA-2017-122595,2017-12-20,Standard Class,AD000043,SH000288
CA-2014-138940,2014-04-16,Second Class,AD000043,SH000289
CA-2017-151981,2017-08-12,Standard Class,AD000043,SH000290
CA-2016-109806,2016-09-22,Standard Class,AD000044,SH000291
CA-2016-155747,2016-06-21,Standard Class,AD000044,SH000292
CA-2017-104864,2017-11-23,Second Class,AD000044,SH000293
CA-2017-169999,2017-06-26,Standard Class,AD000044,SH000294
CA-2015-149587,2015-02-05,Second Class,AD000045,SH000295
CA-2015-131758,2015-06-01,Standard Class,AD000045,SH000296
CA-2016-133123,2016-09-11,Standard Class,AD000045,SH000297
CA-2015-111703,2015-07-09,Standard Class,AD000045,SH000298
US-2015-147662,2015-02-19,Standard Class,AD000045,SH000299
CA-2014-103331,2014-09-01,Standard Class,AD000045,SH000300
CA-2017-147354,2017-03-13,Standard Class,AD000045,SH000301
US-2014-159611,2015-01-01,Second Class,AD000045,SH000302
CA-2015-168277,2015-06-03,Standard Class,AD000045,SH000303
US-2017-109484,2017-11-12,Standard Class,AD000046,SH000304
CA-2015-129854,2015-08-26,Standard Class,AD000046,SH000305
CA-2015-119550,2015-12-31,Standard Class,AD000046,SH000306
CA-2017-152975,2017-09-16,First Class,AD000046,SH000307
CA-2017-161018,2017-11-11,Second Class,AD000047,SH000308
US-2016-118780,2016-09-14,Second Class,AD000047,SH000309
CA-2016-155439,2016-09-18,Standard Class,AD000047,SH000310
US-2017-148768,2017-12-02,Second Class,AD000047,SH000311
CA-2015-141936,2015-08-12,Standard Class,AD000047,SH000312
CA-2017-132213,2017-04-26,First Class,AD000047,SH000313
CA-2016-138597,2016-12-21,First Class,AD000047,SH000314
US-2017-132031,2017-04-27,Standard Class,AD000047,SH000315
CA-2017-157833,2017-06-20,First Class,AD000048,SH000316
CA-2017-121468,2017-11-20,First Class,AD000048,SH000317
US-2015-123218,2015-12-25,Standard Class,AD000048,SH000318
CA-2014-113579,2014-12-15,Second Class,AD000048,SH000319
US-2014-138828,2014-09-03,First Class,AD000048,SH000320
CA-2015-145814,2015-11-24,Standard Class,AD000048,SH000321
CA-2016-149223,2016-09-11,Standard Class,AD000049,SH000322
CA-2015-127019,2015-12-25,Standard Class,AD000049,SH000323
CA-2016-162236,2016-11-06,Second Class,AD000049,SH000324
CA-2016-158568,2016-09-02,Standard Class,AD000050,SH000325
CA-2016-115917,2016-05-25,Standard Class,AD000050,SH000326
CA-2017-137456,2017-12-21,Same Day,AD000050,SH000327
US-2016-146066,2016-08-23,Second Class,AD000050,SH000328
CA-2016-103107,2016-07-04,Same Day,AD000050,SH000329
CA-2014-117765,2014-09-13,Standard Class,AD000050,SH000330
CA-2017-104822,2017-10-20,Same Day,AD000050,SH000331
CA-2017-161578,2017-12-21,Second Class,AD000050,SH000332
CA-2016-120803,2016-03-13,Standard Class,AD000050,SH000333
CA-2016-105662,2016-05-09,Standard Class,AD000050,SH000334
CA-2017-105823,2017-06-26,Standard Class,AD000050,SH000335
CA-2014-152618,2014-03-17,First Class,AD000050,SH000336
CA-2016-129903,2016-12-04,Second Class,AD000051,SH000337
CA-2014-132500,2014-09-12,Standard Class,AD000051,SH000338
US-2017-123463,2017-12-23,Same Day,AD000051,SH000339
CA-2017-156769,2017-05-09,First Class,AD000051,SH000340
CA-2015-154795,2015-12-24,Standard Class,AD000051,SH000341
CA-2016-131737,2016-03-17,Same Day,AD000051,SH000342
CA-2015-123141,2015-11-19,Standard Class,AD000051,SH000343
CA-2017-126928,2017-09-23,Standard Class,AD000051,SH000344
CA-2014-124723,2014-08-12,Standard Class,AD000051,SH000345
US-2015-156867,2015-11-17,Standard Class,AD000052,SH000346
CA-2016-167584,2016-08-12,Same Day,AD000052,SH000347
CA-2016-111283,2016-03-04,Standard Class,AD000052,SH000348
US-2017-125647,2017-09-28,Standard Class,AD000052,SH000349
CA-2015-150770,2015-05-06,First Class,AD000052,SH000350
CA-2017-118017,2017-12-06,Second Class,AD000052,SH000351
CA-2016-110898,2016-03-12,Standard Class,AD000052,SH000352
CA-2017-113705,2017-03-29,Second Class,AD000052,SH000353
CA-2017-119004,2017-11-28,Standard Class,AD000053,SH000354
CA-2016-167556,2016-04-02,Standard Class,AD000053,SH000355
CA-2017-105921,2017-08-21,Standard Class,AD000053,SH000356
CA-2017-128853,2017-04-23,First Class,AD000053,SH000357
CA-2017-139353,2017-10-30,Second Class,AD000053,SH000358
CA-2017-151750,2017-01-05,Standard Class,AD000053,SH000359
CA-2015-129476,2015-10-20,Standard Class,AD000054,SH000360
CA-2015-105970,2015-03-07,Standard Class,AD000054,SH000361
CA-2014-148761,2014-05-21,Standard Class,AD000054,SH000362
US-2016-158309,2016-11-29,First Class,AD000054,SH000363
CA-2017-140508,2017-09-21,First Class,AD000054,SH000364
US-2016-117387,2016-10-31,Standard Class,AD000054,SH000365
CA-2017-146780,2017-12-30,Standard Class,AD000055,SH000366
CA-2017-157252,2017-01-23,Second Class,AD000055,SH000367
CA-2016-120859,2016-09-04,First Class,AD000055,SH000368
CA-2017-135692,2017-05-01,Standard Class,AD000055,SH000369
CA-2017-164707,2017-02-21,Second Class,AD000055,SH000370
CA-2017-151484,2017-04-23,First Class,AD000055,SH000371
CA-2017-146493,2017-06-05,Standard Class,AD000055,SH000372
CA-2017-137582,2017-09-08,Standard Class,AD000055,SH000373
US-2016-144057,2016-05-13,Standard Class,AD000055,SH000374
CA-2016-128867,2016-11-10,Standard Class,AD000056,SH000375
CA-2017-129567,2017-03-21,Second Class,AD000056,SH000376
CA-2014-116239,2014-03-04,Same Day,AD000056,SH000377
CA-2016-106530,2016-05-08,Same Day,AD000056,SH000378
CA-2014-131310,2014-07-18,Standard Class,AD000056,SH000379
CA-2016-134803,2016-06-03,Standard Class,AD000056,SH000380
CA-2014-127936,2014-09-04,First Class,AD000056,SH000381
CA-2017-119452,2017-03-27,Standard Class,AD000056,SH000382
CA-2015-135580,2016-01-03,Standard Class,AD000056,SH000383
CA-2014-125731,2014-09-16,Standard Class,AD000056,SH000384
CA-2016-118129,2016-12-21,Second Class,AD000056,SH000385
CA-2016-153178,2016-09-18,Standard Class,AD000056,SH000386
CA-2014-115259,2014-08-27,Second Class,AD000057,SH000387
CA-2017-112774,2017-09-12,First Class,AD000057,SH000388
US-2014-112872,2014-12-11,Second Class,AD000057,SH000389
US-2016-144351,2016-11-18,Standard Class,AD000057,SH000390
CA-2016-130225,2016-09-17,Standard Class,AD000057,SH000391
US-2016-157728,2016-09-28,Standard Class,AD000057,SH000392
CA-2015-110457,2015-03-06,Standard Class,AD000058,SH000393
CA-2015-129098,2015-10-13,Standard Class,AD000058,SH000394
CA-2017-117807,2017-10-07,Standard Class,AD000058,SH000395
CA-2017-104913,2017-11-22,Standard Class,AD000058,SH000396
CA-2016-134334,2016-02-15,First Class,AD000058,SH000397
CA-2017-100622,2017-11-07,Standard Class,AD000058,SH000398
CA-2017-124940,2017-02-26,Standard Class,AD000058,SH000399
US-2015-136476,2015-04-10,Standard Class,AD000059,SH000400
US-2016-114776,2016-12-07,First Class,AD000059,SH000401
CA-2016-129686,2016-11-29,Second Class,AD000059,SH000402
CA-2014-106439,2014-11-04,Standard Class,AD000059,SH000403
CA-2016-153353,2016-08-24,Standard Class,AD000059,SH000404
CA-2017-157112,2017-04-26,First Class,AD000059,SH000405
CA-2017-118122,2017-11-24,Standard Class,AD000059,SH000406
US-2017-145597,2017-11-05,First Class,AD000059,SH000407
CA-2017-131807,2017-10-10,Standard Class,AD000059,SH000408
CA-2016-103730,2016-06-15,First Class,AD000060,SH000409
US-2015-161991,2015-09-28,Second Class,AD000060,SH000410
CA-2014-135657,2014-06-07,Second Class,AD000060,SH000411
CA-2015-128860,2015-07-05,Standard Class,AD000060,SH000412
CA-2015-165057,2015-09-15,Standard Class,AD000060,SH000413
CA-2017-144463,2017-01-05,Standard Class,AD000060,SH000414
CA-2014-159310,2014-11-12,Standard Class,AD000060,SH000415
CA-2017-163531,2017-06-30,Standard Class,AD000060,SH000416
CA-2017-108539,2017-03-23,Second Class,AD000060,SH000417
CA-2016-153661,2016-01-31,First Class,AD000060,SH000418
CA-2015-119627,2015-08-23,Standard Class,AD000060,SH000419
US-2014-152030,2014-12-28,Second Class,AD000061,SH000420
CA-2017-127432,2017-01-27,Standard Class,AD000061,SH000421
CA-2015-124268,2015-07-08,Standard Class,AD000061,SH000422
CA-2015-120439,2015-06-18,Standard Class,AD000061,SH000423
CA-2017-160416,2017-11-18,Second Class,AD000061,SH000424
CA-2017-143245,2017-12-06,Standard Class,AD000061,SH000425
US-2017-136784,2017-05-05,Standard Class,AD000061,SH000426
CA-2014-128062,2014-11-22,Second Class,AD000061,SH000427
US-2014-134614,2014-09-25,Standard Class,AD000062,SH000428
CA-2017-118437,2017-06-21,Second Class,AD000062,SH000429
CA-2015-101707,2015-09-01,Standard Class,AD000062,SH000430
CA-2015-111458,2015-09-30,Standard Class,AD000062,SH000431
CA-2016-162355,2016-07-02,Second Class,AD000062,SH000432
CA-2016-138233,2016-11-14,Standard Class,AD000062,SH000433
US-2017-107272,2017-11-12,Standard Class,AD000063,SH000434
CA-2016-110023,2016-09-11,First Class,AD000063,SH000435
CA-2014-142839,2014-08-20,Standard Class,AD000063,SH000436
CA-2017-105214,2017-06-19,First Class,AD000063,SH000437
CA-2017-163160,2017-10-16,First Class,AD000063,SH000438
CA-2016-131093,2016-09-20,Second Class,AD000063,SH000439
CA-2017-124191,2017-06-14,Second Class,AD000063,SH000440
US-2016-125969,2016-11-10,Second Class,AD000064,SH000441
CA-2017-108294,2017-12-10,Same Day,AD000064,SH000442
CA-2016-112025,2016-08-04,Standard Class,AD000064,SH000443
US-2015-138919,2015-09-21,Standard Class,AD000064,SH000444
CA-2017-164168,2017-11-18,Standard Class,AD000064,SH000445
CA-2017-117702,2017-12-04,Standard Class,AD000064,SH000446
